x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
1.875e+06,98.45,18.6,2.1375e-05
1.8945e+06,99.505,18.512,1.2781e-05
1.9141e+06,NaN,NaN,7.6168e-06
1.9336e+06,NaN,NaN,4.5244e-06
1.9531e+06,NaN,NaN,2.6792e-06
1.9727e+06,NaN,NaN,1.582e-06
1.9922e+06,NaN,NaN,9.3151e-07
2.0117e+06,NaN,NaN,5.4705e-07
2.0313e+06,NaN,NaN,3.2045e-07
2.0508e+06,NaN,NaN,1.8726e-07
2.0703e+06,NaN,NaN,1.0917e-07
2.0898e+06,NaN,NaN,6.3503e-08
2.1094e+06,NaN,NaN,3.6858e-08
2.1289e+06,NaN,NaN,2.1347e-08
2.1484e+06,NaN,NaN,1.2339e-08
2.168e+06,NaN,NaN,7.1177e-09
2.1875e+06,NaN,NaN,4.098e-09
2.207e+06,NaN,NaN,2.3549e-09
2.2266e+06,NaN,NaN,1.3508e-09
2.2461e+06,NaN,NaN,7.7346e-10
2.2656e+06,NaN,NaN,4.4211e-10
2.2852e+06,NaN,NaN,2.5227e-10
2.3047e+06,NaN,NaN,1.4371e-10
2.3242e+06,NaN,NaN,8.1736e-11
2.3438e+06,NaN,NaN,4.6413e-11
2.3633e+06,NaN,NaN,2.6314e-11
2.3828e+06,NaN,NaN,1.4896e-11
2.4023e+06,NaN,NaN,8.4195e-12
2.4219e+06,NaN,NaN,4.7519e-12
2.4414e+06,NaN,NaN,2.6781e-12
2.4609e+06,NaN,NaN,1.5072e-12
2.4805e+06,NaN,NaN,8.4701e-13
2.5e+06,NaN,NaN,4.7535e-13
2.5195e+06,NaN,NaN,2.6641e-13
2.5391e+06,NaN,NaN,1.4911e-13
2.5586e+06,NaN,NaN,8.335e-14
2.5781e+06,NaN,NaN,4.653e-14
2.5977e+06,NaN,NaN,2.5942e-14
2.6172e+06,NaN,NaN,1.4445e-14
2.6367e+06,NaN,NaN,8.0336e-15
2.6563e+06,NaN,NaN,4.4624e-15
2.6758e+06,NaN,NaN,2.4757e-15
2.6953e+06,NaN,NaN,1.3719e-15
2.7148e+06,NaN,NaN,7.593e-16
2.7344e+06,NaN,NaN,4.1977e-16
2.7539e+06,NaN,NaN,2.318e-16
2.7734e+06,NaN,NaN,1.2786e-16
2.793e+06,NaN,NaN,7.0446e-17
2.8125e+06,NaN,NaN,3.877e-17
2.832e+06,NaN,NaN,2.1314e-17
2.8516e+06,NaN,NaN,1.1705e-17
2.8711e+06,NaN,NaN,6.4212e-18
2.8906e+06,NaN,NaN,3.5188e-18
2.9102e+06,NaN,NaN,1.9263e-18
2.9297e+06,NaN,NaN,1.0534e-18
2.9492e+06,NaN,NaN,5.755e-19
2.9688e+06,NaN,NaN,3.1408e-19
2.9883e+06,NaN,NaN,1.7124e-19
3.0078e+06,NaN,NaN,9.3272e-20
3.0273e+06,NaN,NaN,5.0753e-20
3.0469e+06,NaN,NaN,2.759e-20
3.0664e+06,NaN,NaN,1.4984e-20
3.0859e+06,NaN,NaN,8.1302e-21
3.1055e+06,NaN,NaN,4.4072e-21
3.125e+06,NaN,NaN,2.3868e-21
3.1445e+06,NaN,NaN,1.2914e-21
3.1641e+06,NaN,NaN,6.9812e-22
3.1836e+06,NaN,NaN,3.7705e-22
3.2031e+06,NaN,NaN,2.0346e-22
3.2227e+06,NaN,NaN,1.0969e-22
3.2422e+06,NaN,NaN,5.9086e-23
3.2617e+06,NaN,NaN,3.18e-23
3.2813e+06,NaN,NaN,1.71e-23
3.3008e+06,NaN,NaN,9.1871e-24
3.3203e+06,NaN,NaN,4.9317e-24
3.3398e+06,NaN,NaN,2.6452e-24
3.3594e+06,NaN,NaN,1.4176e-24
3.3789e+06,NaN,NaN,7.591e-25
3.3984e+06,NaN,NaN,4.0615e-25
3.418e+06,NaN,NaN,2.1713e-25
3.4375e+06,NaN,NaN,1.1599e-25
3.457e+06,NaN,NaN,6.1909e-26
3.4766e+06,NaN,NaN,3.3018e-26
3.4961e+06,NaN,NaN,1.7596e-26
3.5156e+06,NaN,NaN,9.3698e-27
3.5352e+06,NaN,NaN,4.9856e-27
3.5547e+06,NaN,NaN,2.6508e-27
3.5742e+06,NaN,NaN,1.4083e-27
3.5938e+06,NaN,NaN,7.4766e-28
3.6133e+06,NaN,NaN,3.9663e-28
3.6328e+06,NaN,NaN,2.1025e-28
3.6523e+06,NaN,NaN,1.1137e-28
3.6719e+06,NaN,NaN,5.8952e-29
3.6914e+06,NaN,NaN,3.1182e-29
3.7109e+06,NaN,NaN,1.6482e-29
3.7305e+06,NaN,NaN,8.7056e-30
3.75e+06,NaN,NaN,4.595e-30
3.7695e+06,NaN,NaN,2.4236e-30
3.7891e+06,NaN,NaN,1.2774e-30
3.8086e+06,NaN,NaN,6.7285e-31
3.8281e+06,NaN,NaN,3.5416e-31
3.8477e+06,NaN,NaN,1.8629e-31
3.8672e+06,NaN,NaN,9.7923e-32
3.8867e+06,NaN,NaN,5.1439e-32
3.9063e+06,NaN,NaN,2.7003e-32
