x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-2.2461e+06,NaN,NaN,0.24183
-2.2266e+06,NaN,NaN,0.24183
-2.207e+06,NaN,NaN,0.24183
-2.1875e+06,NaN,NaN,0.24183
-2.168e+06,NaN,NaN,0.24183
-2.1484e+06,NaN,NaN,0.24183
-2.1289e+06,NaN,NaN,0.24183
-2.1094e+06,NaN,NaN,0.24183
-2.0898e+06,NaN,NaN,0.24183
-2.0703e+06,NaN,NaN,0.24183
-2.0508e+06,NaN,NaN,0.24183
-2.0313e+06,NaN,NaN,0.24183
-2.0117e+06,NaN,NaN,0.24183
-1.9922e+06,NaN,NaN,0.24183
-1.9727e+06,NaN,NaN,0.24183
-1.9531e+06,NaN,NaN,0.24183
-1.9336e+06,NaN,NaN,0.24183
-1.9141e+06,NaN,NaN,0.24183
-1.8945e+06,NaN,NaN,0.24183
-1.875e+06,NaN,NaN,0.24183
-1.8555e+06,NaN,NaN,0.24183
-1.8359e+06,NaN,NaN,0.24183
-1.8164e+06,NaN,NaN,0.24183
-1.7969e+06,NaN,NaN,0.24183
-1.7773e+06,NaN,NaN,0.24183
-1.7578e+06,NaN,NaN,0.24183
-1.7383e+06,NaN,NaN,0.24183
-1.7188e+06,NaN,NaN,0.24183
-1.6992e+06,NaN,NaN,0.24183
-1.6797e+06,NaN,NaN,0.24183
-1.6602e+06,NaN,NaN,0.24183
-1.6406e+06,NaN,NaN,0.24183
-1.6211e+06,NaN,NaN,0.24183
-1.6016e+06,NaN,NaN,0.24183
-1.582e+06,NaN,NaN,0.24183
-1.5625e+06,NaN,NaN,0.24183
-1.543e+06,NaN,NaN,0.24183
-1.5234e+06,NaN,NaN,0.24183
-1.5039e+06,NaN,NaN,0.24183
-1.4844e+06,NaN,NaN,0.24183
-1.4648e+06,NaN,NaN,0.24183
-1.4453e+06,NaN,NaN,0.24183
-1.4258e+06,NaN,NaN,0.24183
-1.4063e+06,NaN,NaN,0.24183
