x,rhoTime_1e-05,rhoRate_1e-05,rho
78125,0.19001,195.3,0.18397
97656,0.46502,71.019,0.18397
1.1719e+05,1.1701,27.703,0.18397
1.3672e+05,2.1151,20.667,0.18397
1.5625e+05,2.9051,24.722,0.18397
1.7578e+05,3.6302,26.938,0.18397
1.9531e+05,4.3302,27.9,0.18397
2.1484e+05,5.0353,27.703,0.18397
2.3438e+05,5.7553,27.125,0.18397
2.5391e+05,6.4853,26.754,0.18397
2.7344e+05,7.2254,26.392,0.18397
2.9297e+05,7.9654,26.392,0.18397
3.125e+05,8.7054,26.392,0.18397
3.3203e+05,9.4455,26.392,0.18397
3.5156e+05,10.186,26.392,0.18397
3.7109e+05,10.926,26.392,0.18397
3.9063e+05,11.661,26.572,0.18397
4.1016e+05,12.401,26.392,0.18397
4.2969e+05,13.136,26.572,0.18397
4.4922e+05,13.871,26.572,0.18397
4.6875e+05,14.606,26.572,0.18397
4.8828e+05,15.341,26.572,0.18397
5.0781e+05,16.076,26.572,0.18397
5.2734e+05,16.811,26.572,0.18397
5.4688e+05,17.546,26.572,0.18397
5.6641e+05,18.276,26.754,0.18397
5.8594e+05,19.011,26.572,0.18397
6.0547e+05,19.741,26.754,0.18397
6.25e+05,20.476,26.572,0.18397
6.4453e+05,21.211,26.572,0.18397
6.6406e+05,21.941,26.754,0.18397
6.8359e+05,22.671,26.754,0.18397
7.0313e+05,23.406,26.572,0.18397
7.2266e+05,24.136,26.754,0.18397
7.4219e+05,24.866,26.754,0.18397
7.6172e+05,25.596,26.754,0.18397
7.8125e+05,26.331,26.572,0.18397
8.0078e+05,27.061,26.754,0.18397
8.2031e+05,27.791,26.754,0.18397
8.3984e+05,28.521,26.754,0.18397
8.5938e+05,29.251,26.754,0.18397
8.7891e+05,29.981,26.754,0.18397
8.9844e+05,30.707,26.938,0.18397
9.1797e+05,31.437,26.754,0.18397
9.375e+05,32.167,26.754,0.18397
9.5703e+05,32.897,26.754,0.18397
9.7656e+05,33.627,26.754,0.18397
9.9609e+05,34.352,26.938,0.18397
1.0156e+06,35.082,26.754,0.18397
1.0352e+06,35.807,26.938,0.18397
1.0547e+06,36.537,26.754,0.18397
1.0742e+06,37.267,26.754,0.18397
1.0938e+06,37.992,26.938,0.18397
1.1133e+06,38.717,26.938,0.18397
1.1328e+06,39.447,26.754,0.18397
1.1523e+06,40.172,26.938,0.18397
1.1719e+06,40.902,26.754,0.18397
1.1914e+06,41.627,26.938,0.18397
1.2109e+06,42.352,26.938,0.18397
1.2305e+06,43.077,26.938,0.18397
1.25e+06,43.807,26.754,0.18397
1.2695e+06,44.532,26.938,0.18397
1.2891e+06,45.257,26.938,0.18397
1.3086e+06,45.982,26.938,0.18397
1.3281e+06,46.707,26.938,0.18397
1.3477e+06,47.432,26.938,0.18397
1.3672e+06,48.157,26.938,0.18397
1.3867e+06,48.882,26.938,0.18397
1.4063e+06,49.607,26.938,0.18397
1.4258e+06,50.333,26.938,0.18397
1.4453e+06,51.058,26.938,0.18397
1.4648e+06,51.783,26.938,0.18397
1.4844e+06,52.508,26.938,0.18397
1.5039e+06,53.233,26.938,0.18397
1.5234e+06,53.958,26.938,0.18397
1.543e+06,54.678,27.125,0.18397
1.5625e+06,55.403,26.938,0.18397
1.582e+06,56.128,26.938,0.18397
1.6016e+06,56.853,26.938,0.18397
1.6211e+06,57.573,27.125,0.18397
1.6406e+06,58.298,26.938,0.18397
1.6602e+06,59.023,26.938,0.18396
1.6797e+06,59.743,27.125,0.18396
1.6992e+06,60.468,26.938,0.18396
1.7188e+06,61.188,27.125,0.18396
1.7383e+06,61.913,26.938,0.18395
1.7578e+06,62.633,27.125,0.18394
1.7773e+06,63.358,26.938,0.18394
1.7969e+06,64.078,27.125,0.18392
1.8164e+06,64.803,26.938,0.18391
1.8359e+06,65.523,27.125,0.18389
1.8555e+06,66.248,26.938,0.18387
1.875e+06,66.968,27.125,0.18383
1.8945e+06,67.693,26.938,0.18379
1.9141e+06,68.413,27.125,0.18373
1.9336e+06,69.133,27.125,0.18366
1.9531e+06,69.858,26.938,0.18357
1.9727e+06,70.579,27.125,0.18344
1.9922e+06,71.299,27.125,0.18328
2.0117e+06,72.019,27.125,0.18307
2.0313e+06,72.744,26.938,0.18279
2.0508e+06,73.464,27.125,0.18243
2.0703e+06,74.184,27.125,0.18196
2.0898e+06,74.904,27.125,0.18134
2.1094e+06,75.629,26.938,0.18054
2.1289e+06,76.349,27.125,0.1795
2.1484e+06,77.069,27.125,0.17814
2.168e+06,77.789,27.125,0.17638
2.1875e+06,78.509,27.125,0.17411
2.207e+06,79.229,27.125,0.17117
2.2266e+06,79.949,27.125,0.16739
2.2461e+06,80.669,27.125,0.16257
2.2656e+06,81.394,26.938,0.15644
2.2852e+06,82.114,27.125,0.14874
2.3047e+06,82.834,27.125,0.13919
2.3242e+06,83.554,27.125,0.12756
