x,rhoTime_1e-05,rhoRate_1e-05,rho
1.6406e+06,71.529,48.826,0.32896
1.6602e+06,71.989,42.457,0.31926
1.6797e+06,73.389,13.95,0.30774
1.6992e+06,73.819,45.419,0.29417
1.7188e+06,75.254,13.61,0.27834
1.7383e+06,75.664,47.635,0.26008
1.7578e+06,77.104,13.563,0.23936
1.7773e+06,77.504,48.826,0.21631
1.7969e+06,77.959,42.924,0.19133
1.8164e+06,79.369,13.851,0.1651
1.8359e+06,79.794,45.954,0.1386
1.8555e+06,81.224,13.658,0.11296
1.875e+06,81.629,48.223,0.089305
1.8945e+06,83.089,13.377,0.068527
1.9141e+06,83.489,48.826,0.05112
1.9336e+06,83.934,43.888,0.037167
1.9531e+06,85.334,13.95,0.026415
1.9727e+06,85.759,45.954,0.018406
1.9922e+06,87.199,13.563,0.012611
2.0117e+06,87.609,47.635,0.0085169
2.0313e+06,89.059,13.469,0.0056817
2.0508e+06,89.459,48.826,0.0037508
2.0703e+06,89.899,44.387,0.0024538
2.0898e+06,91.31,13.851,0.0015928
2.1094e+06,91.735,45.954,0.0010268
2.1289e+06,93.18,13.516,0.00065794
2.1484e+06,93.585,48.223,0.0004193
2.168e+06,95.045,13.377,0.00026591
2.1875e+06,95.445,48.826,0.00016789
2.207e+06,95.88,44.897,0.00010558
2.2266e+06,97.305,13.705,6.6141e-05
2.2461e+06,97.72,47.061,4.1293e-05
2.2656e+06,99.155,13.61,2.5697e-05
2.2852e+06,99.555,48.826,1.5943e-05
2.3047e+06,NaN,NaN,9.8633e-06
2.3242e+06,NaN,NaN,6.0857e-06
2.3438e+06,NaN,NaN,3.7453e-06
2.3633e+06,NaN,NaN,2.2994e-06
2.3828e+06,NaN,NaN,1.4084e-06
2.4023e+06,NaN,NaN,8.6072e-07
2.4219e+06,NaN,NaN,5.249e-07
2.4414e+06,NaN,NaN,3.1944e-07
2.4609e+06,NaN,NaN,1.9402e-07
2.4805e+06,NaN,NaN,1.1762e-07
2.5e+06,NaN,NaN,7.1166e-08
2.5195e+06,NaN,NaN,4.2983e-08
2.5391e+06,NaN,NaN,2.5915e-08
2.5586e+06,NaN,NaN,1.5598e-08
2.5781e+06,NaN,NaN,9.3722e-09
2.5977e+06,NaN,NaN,5.6223e-09
2.6172e+06,NaN,NaN,3.3674e-09
2.6367e+06,NaN,NaN,2.0137e-09
2.6563e+06,NaN,NaN,1.2024e-09
2.6758e+06,NaN,NaN,7.1684e-10
2.6953e+06,NaN,NaN,4.2674e-10
2.7148e+06,NaN,NaN,2.5368e-10
2.7344e+06,NaN,NaN,1.5058e-10
2.7539e+06,NaN,NaN,8.9263e-11
2.7734e+06,NaN,NaN,5.2841e-11
2.793e+06,NaN,NaN,3.1237e-11
2.8125e+06,NaN,NaN,1.8442e-11
2.832e+06,NaN,NaN,1.0873e-11
2.8516e+06,NaN,NaN,6.4026e-12
2.8711e+06,NaN,NaN,3.7653e-12
2.8906e+06,NaN,NaN,2.2115e-12
2.9102e+06,NaN,NaN,1.2973e-12
2.9297e+06,NaN,NaN,7.6008e-13
2.9492e+06,NaN,NaN,4.4479e-13
2.9688e+06,NaN,NaN,2.5997e-13
2.9883e+06,NaN,NaN,1.5177e-13
3.0078e+06,NaN,NaN,8.8496e-14
3.0273e+06,NaN,NaN,5.1543e-14
3.0469e+06,NaN,NaN,2.9986e-14
3.0664e+06,NaN,NaN,1.7425e-14
3.0859e+06,NaN,NaN,1.0114e-14
3.1055e+06,NaN,NaN,5.8644e-15
3.125e+06,NaN,NaN,3.3965e-15
3.1445e+06,NaN,NaN,1.965e-15
3.1641e+06,NaN,NaN,1.1356e-15
3.1836e+06,NaN,NaN,6.5561e-16
3.2031e+06,NaN,NaN,3.7809e-16
3.2227e+06,NaN,NaN,2.1781e-16
3.2422e+06,NaN,NaN,1.2535e-16
3.2617e+06,NaN,NaN,7.2065e-17
3.2813e+06,NaN,NaN,4.1389e-17
3.3008e+06,NaN,NaN,2.3746e-17
3.3203e+06,NaN,NaN,1.3611e-17
3.3398e+06,NaN,NaN,7.7936e-18
3.3594e+06,NaN,NaN,4.4583e-18
3.3789e+06,NaN,NaN,2.5478e-18
3.3984e+06,NaN,NaN,1.4546e-18
3.418e+06,NaN,NaN,8.2971e-19
3.4375e+06,NaN,NaN,4.7281e-19
3.457e+06,NaN,NaN,2.6918e-19
3.4766e+06,NaN,NaN,1.531e-19
3.4961e+06,NaN,NaN,8.7001e-20
3.5156e+06,NaN,NaN,4.9394e-20
3.5352e+06,NaN,NaN,2.8017e-20
3.5547e+06,NaN,NaN,1.5877e-20
3.5742e+06,NaN,NaN,8.9896e-21
3.5938e+06,NaN,NaN,5.0854e-21
3.6133e+06,NaN,NaN,2.8742e-21
3.6328e+06,NaN,NaN,1.6231e-21
3.6523e+06,NaN,NaN,9.1576e-22
3.6719e+06,NaN,NaN,5.1623e-22
3.6914e+06,NaN,NaN,2.9076e-22
3.7109e+06,NaN,NaN,1.6363e-22
3.7305e+06,NaN,NaN,9.2007e-23
3.75e+06,NaN,NaN,5.1691e-23
3.7695e+06,NaN,NaN,2.9017e-23
3.7891e+06,NaN,NaN,1.6275e-23
3.8086e+06,NaN,NaN,9.1212e-24
3.8281e+06,NaN,NaN,5.1076e-24
3.8477e+06,NaN,NaN,2.8578e-24
3.8672e+06,NaN,NaN,1.5977e-24
3.8867e+06,NaN,NaN,8.9255e-25
3.9063e+06,NaN,NaN,4.9821e-25
3.9258e+06,NaN,NaN,2.7788e-25
3.9453e+06,NaN,NaN,1.5487e-25
3.9648e+06,NaN,NaN,8.6243e-26
3.9844e+06,NaN,NaN,4.7991e-26
4.0039e+06,NaN,NaN,2.6685e-26
4.0234e+06,NaN,NaN,1.4826e-26
4.043e+06,NaN,NaN,8.2315e-27
4.0625e+06,NaN,NaN,4.5667e-27
4.082e+06,NaN,NaN,2.5316e-27
4.1016e+06,NaN,NaN,1.4024e-27
4.1211e+06,NaN,NaN,7.7632e-28
4.1406e+06,NaN,NaN,4.2942e-28
4.1602e+06,NaN,NaN,2.3737e-28
4.1797e+06,NaN,NaN,1.3111e-28
4.1992e+06,NaN,NaN,7.2368e-29
4.2188e+06,NaN,NaN,3.9916e-29
4.2383e+06,NaN,NaN,2.2001e-29
4.2578e+06,NaN,NaN,1.2118e-29
4.2773e+06,NaN,NaN,6.6701e-30
4.2969e+06,NaN,NaN,3.6688e-30
4.3164e+06,NaN,NaN,2.0166e-30
4.3359e+06,NaN,NaN,1.1077e-30
4.3555e+06,NaN,NaN,6.0801e-31
4.375e+06,NaN,NaN,3.3352e-31
4.3945e+06,NaN,NaN,1.8283e-31
4.4141e+06,NaN,NaN,1.0016e-31
4.4336e+06,NaN,NaN,5.483e-32
4.4531e+06,NaN,NaN,2.9997e-32
4.4727e+06,NaN,NaN,1.64e-32
4.4922e+06,NaN,NaN,8.9609e-33
4.5117e+06,NaN,NaN,4.8929e-33
4.5313e+06,NaN,NaN,2.6699e-33
4.5508e+06,NaN,NaN,1.456e-33
4.5703e+06,NaN,NaN,7.9349e-34
4.5898e+06,NaN,NaN,4.3217e-34
4.6094e+06,NaN,NaN,2.3523e-34
4.6289e+06,NaN,NaN,1.2796e-34
4.6484e+06,NaN,NaN,6.9561e-35
4.668e+06,NaN,NaN,3.7792e-35
4.6875e+06,NaN,NaN,2.052e-35
4.707e+06,NaN,NaN,1.1135e-35
4.7266e+06,NaN,NaN,6.0384e-36
4.7461e+06,NaN,NaN,3.2727e-36
4.7656e+06,NaN,NaN,1.7727e-36
4.7852e+06,NaN,NaN,9.5967e-37
4.8047e+06,NaN,NaN,5.1926e-37
4.8242e+06,NaN,NaN,2.8084e-37
4.8438e+06,NaN,NaN,1.5187e-37
4.8633e+06,NaN,NaN,8.2161e-38
4.8828e+06,NaN,NaN,4.4535e-38
4.9023e+06,NaN,NaN,2.427e-38
4.9219e+06,NaN,NaN,1.3404e-38
4.9414e+06,NaN,NaN,7.6336e-39
4.9609e+06,NaN,NaN,4.6391e-39
4.9805e+06,NaN,NaN,3.2062e-39
